"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1048993"	0.982107572092	0.385191462005	1425128	3633593	"admiring_curie_3"
"strain"	"evo_1286_AP.008"	0.223534141808	0.996316122005	15082564	3383934	"admiring_curie_3"
"strain"	"1036728"	0.288280952638	0.929532634031	6489350	2012577	"admiring_curie_3"
"strain"	"1036608"	1	0.989799878094	3137337	3169668	"admiring_curie_3"
"strain"	"1036539"	0.98999826572	0.196600150982	928339	4674737	"admiring_curie_3"
"strain"	"1052947"	0.461741600286	0.956836773481	9878432	4767044	"admiring_curie_3"
"strain"	"1049089"	1	0.983895855985	3073975	3124289	"admiring_curie_3"
"strain"	"1139_AG"	1	0.990252566259	7206873	7277813	"admiring_curie_3"
"strain"	"1035900"	1	0.0798533172123	581261	7279109	"admiring_curie_3"
"strain"	"evo_1049056.031"	1	0.385147523723	1300062	3375491	"admiring_curie_3"
"strain"	"1030752"	1	0.991587872161	6224913	6277722	"admiring_curie_3"
"strain"	"1036554"	1	0.898193575442	2386018	2656463	"admiring_curie_3"
"strain"	"evo_1049056.013"	0.225071459555	0.995806645982	15552154	3515086	"admiring_curie_3"
"strain"	"1365_A"	0.997762508057	0.682837884293	4801805	7016396	"admiring_curie_3"
"strain"	"1030878"	1	0.996440945639	3276530	3288233	"admiring_curie_3"
"strain"	"evo_1035930.029"	0.313816355107	0.967692039815	7438105	2412130	"admiring_curie_3"
"strain"	"1030755"	0.998634223955	0.991192295799	4580546	4614937	"admiring_curie_3"
"strain"	"1036743"	0.964253864595	0.571316803483	3020886	5098574	"admiring_curie_3"
"strain"	"1048783"	1	0.123499992367	299311	2423571	"admiring_curie_3"
"strain"	"evo_1035930.011"	0.770596619537	0.515795726357	1513343	2260928	"admiring_curie_3"
"strain"	"evo_1286_AP.026"	1	0.188791250407	606197	3210938	"admiring_curie_3"
"strain"	"1030836"	0.564387120633	0.98464835402	8544830	4897781	"admiring_curie_3"
"strain"	"1285_BH"	1	1	4566533	4566533	"admiring_curie_3"
"strain"	"1052944"	0.803548838094	0.349291962598	2255217	5188144	"admiring_curie_3"
"strain"	"1036755"	1	0.954400829489	6168995	6463736	"admiring_curie_3"
"strain"	"1048783"	1	0.812480839224	1969105	2423571	"admiring_curie_3"
"strain"	"1049005"	1	0.991147400588	4071468	4107833	"admiring_curie_3"
"strain"	"1220_AD"	1	0.995235475368	3464141	3480725	"admiring_curie_3"
"strain"	"1035900"	1	0.912094186253	6639233	7279109	"admiring_curie_3"
"strain"	"1036641"	1	0.955861686215	2514571	2630685	"admiring_curie_3"
"strain"	"Sample6_722"	0	0	0	7258	"admiring_curie_3"
"strain"	"Sample23_273"	0	0	0	10364	"admiring_curie_3"
"strain"	"evo_1286_AP.033"	0	0	0	3098001	"admiring_curie_3"
"strain"	"1220_AJ"	0	0	0	2614190	"admiring_curie_3"
"strain"	"Sample19_56"	0	0	0	29366	"admiring_curie_3"
"strain"	"Sample22_57"	0	0	0	37672	"admiring_curie_3"
"strain"	"Sample16_19"	0	0	0	77336	"admiring_curie_3"
"strain"	"Sample23_271"	0	0	0	10434	"admiring_curie_3"
"strain"	"Sample6_289"	0	0	0	14081	"admiring_curie_3"
"strain"	"Sample6_527"	0	0	0	9295	"admiring_curie_3"
"strain"	"Sample9_2"	0	0	0	33254	"admiring_curie_3"
"strain"	"Sample22_283"	0	0	0	16206	"admiring_curie_3"
"strain"	"Sample15_97"	0	0	0	6594	"admiring_curie_3"
"strain"	"1286_AP"	0	0	0	2975025	"admiring_curie_3"
"strain"	"Sample19_20"	0	0	0	59741	"admiring_curie_3"
"strain"	"1035930"	0	0	0	2197372	"admiring_curie_3"
"strain"	"evo_1049056.011"	0	0	0	3354404	"admiring_curie_3"
"strain"	"evo_1049056.039"	0	0	0	2699770	"admiring_curie_3"
"strain"	"evo_1049056.015"	0	0	0	3365233	"admiring_curie_3"
"strain"	"Sample23_288"	0	0	0	9994	"admiring_curie_3"
"strain"	"evo_1035930.032"	0	0	0	2294831	"admiring_curie_3"
"strain"	"1053058"	0	0	0	5189366	"admiring_curie_3"
"strain"	"evo_1286_AP.037"	0	0	0	3082966	"admiring_curie_3"
"strain"	"Sample9_65"	0	0	0	12323	"admiring_curie_3"
"strain"	"Sample6_49"	0	0	0	31699	"admiring_curie_3"
"strain"	"Sample6_476"	0	0	0	8307	"admiring_curie_3"
"strain"	"Sample18_57"	0	0	0	20518	"admiring_curie_3"
"strain"	"1049056"	0	0	0	3262395	"admiring_curie_3"
"strain"	"Sample18_8"	0	0	0	49909	"admiring_curie_3"
"strain"	"Sample22_89"	0	0	0	31415	"admiring_curie_3"
"strain"	"Sample19_52"	0	0	0	29728	"admiring_curie_3"
"strain"	"1036707"	0	0	0	4004609	"admiring_curie_3"
"strain"	"Sample6_722"	0.0107815510401	1	673187	7258	"berserk_euclid_2"
"strain"	"1285_BH"	0.993238026093	1	4597622	4566533	"berserk_euclid_2"
"strain"	"evo_1035930.029"	0.339261497798	0.968890151028	6888754	2412130	"berserk_euclid_2"
"strain"	"1036743"	0.954026611976	0.767478710714	4101612	5098574	"berserk_euclid_2"
"strain"	"1036539"	0.729417243869	0.7893342449	5058737	4674737	"berserk_euclid_2"
"strain"	"evo_1049056.039"	0.197259568228	0.00737470228945	100933	2699770	"berserk_euclid_2"
"strain"	"Sample23_288"	0.000809822693883	1	12340973	9994	"berserk_euclid_2"
"strain"	"1139_AG"	0.997353417242	0.991847413502	7237635	7277813	"berserk_euclid_2"
"strain"	"Sample6_49"	0.0110783216617	1	2861354	31699	"berserk_euclid_2"
"strain"	"Sample16_19"	0.0118877945663	1	6505496	77336	"berserk_euclid_2"
"strain"	"1036641"	0.976581847252	0.930598304244	2506816	2630685	"berserk_euclid_2"
"strain"	"1036707"	0.786463812899	0.960969972349	4893180	4004609	"berserk_euclid_2"
"strain"	"1036728"	0.995852205637	0.972618687384	1965623	2012577	"berserk_euclid_2"
"strain"	"1052947"	0.327920593551	0.836116259888	12154781	4767044	"berserk_euclid_2"
"strain"	"Sample19_56"	0.00625472442983	1	4695011	29366	"berserk_euclid_2"
"strain"	"evo_1049056.013"	0.287555111457	0.67346033639	8232408	3515086	"berserk_euclid_2"
"strain"	"1030755"	0.635716558561	0.993099797462	7209334	4614937	"berserk_euclid_2"
"strain"	"1049089"	1	0.994973576388	3108585	3124289	"berserk_euclid_2"
"strain"	"Sample15_97"	0.00104816571001	1	6290990	6594	"berserk_euclid_2"
"strain"	"1220_AD"	1	0.984773287174	3427725	3480725	"berserk_euclid_2"
"strain"	"1036608"	0.991633046542	0.994831319873	3179891	3169668	"berserk_euclid_2"
"strain"	"Sample9_2"	0.00447984541071	1	7423024	33254	"berserk_euclid_2"
"strain"	"evo_1035930.011"	0.79874550774	0.840785730461	2379927	2260928	"berserk_euclid_2"
"strain"	"Sample9_65"	0.00483647699759	1	2547929	12323	"berserk_euclid_2"
"strain"	"1049005"	0.581114044307	1	7068893	4107833	"berserk_euclid_2"
"strain"	"evo_1286_AP.008"	0.976552567711	0.982884122444	3405874	3383934	"berserk_euclid_2"
"strain"	"1030878"	0.471590070864	0.996440945639	6947835	3288233	"berserk_euclid_2"
"strain"	"1052947"	0.139993452366	0.00116613146428	39709	4767044	"berserk_euclid_2"
"strain"	"Sample19_52"	0.0107293565995	1	2770716	29728	"berserk_euclid_2"
"strain"	"1049056"	0.301981964411	0.896042324734	9680194	3262395	"berserk_euclid_2"
"strain"	"Sample23_273"	0	0	0	10364	"berserk_euclid_2"
"strain"	"evo_1286_AP.033"	0	0	0	3098001	"berserk_euclid_2"
"strain"	"1220_AJ"	0	0	0	2614190	"berserk_euclid_2"
"strain"	"Sample22_57"	0	0	0	37672	"berserk_euclid_2"
"strain"	"Sample23_271"	0	0	0	10434	"berserk_euclid_2"
"strain"	"Sample6_289"	0	0	0	14081	"berserk_euclid_2"
"strain"	"Sample6_527"	0	0	0	9295	"berserk_euclid_2"
"strain"	"Sample22_283"	0	0	0	16206	"berserk_euclid_2"
"strain"	"1048993"	0	0	0	3633593	"berserk_euclid_2"
"strain"	"1365_A"	0	0	0	7016396	"berserk_euclid_2"
"strain"	"1286_AP"	0	0	0	2975025	"berserk_euclid_2"
"strain"	"Sample19_20"	0	0	0	59741	"berserk_euclid_2"
"strain"	"evo_1049056.031"	0	0	0	3375491	"berserk_euclid_2"
"strain"	"1035930"	0	0	0	2197372	"berserk_euclid_2"
"strain"	"evo_1049056.011"	0	0	0	3354404	"berserk_euclid_2"
"strain"	"evo_1049056.015"	0	0	0	3365233	"berserk_euclid_2"
"strain"	"1030752"	0	0	0	6277722	"berserk_euclid_2"
"strain"	"evo_1286_AP.026"	0	0	0	3210938	"berserk_euclid_2"
"strain"	"1036755"	0	0	0	6463736	"berserk_euclid_2"
"strain"	"1052944"	0	0	0	5188144	"berserk_euclid_2"
"strain"	"evo_1035930.032"	0	0	0	2294831	"berserk_euclid_2"
"strain"	"1053058"	0	0	0	5189366	"berserk_euclid_2"
"strain"	"evo_1286_AP.037"	0	0	0	3082966	"berserk_euclid_2"
"strain"	"1036554"	0	0	0	2656463	"berserk_euclid_2"
"strain"	"1035900"	0	0	0	7279109	"berserk_euclid_2"
"strain"	"Sample6_476"	0	0	0	8307	"berserk_euclid_2"
"strain"	"Sample18_57"	0	0	0	20518	"berserk_euclid_2"
"strain"	"Sample18_8"	0	0	0	49909	"berserk_euclid_2"
"strain"	"Sample22_89"	0	0	0	31415	"berserk_euclid_2"
"strain"	"1030836"	0	0	0	4897781	"berserk_euclid_2"
"strain"	"1048783"	0	0	0	2423571	"berserk_euclid_2"
"strain"	"1048783"	0.965725629106	0.942236889284	2364624	2423571	"berserk_hypatia_2"
"strain"	"1035900"	1	0.996593539127	7254313	7279109	"berserk_hypatia_2"
"strain"	"1052947"	0.523627321462	0.887501562813	8079714	4767044	"berserk_hypatia_2"
"strain"	"1036641"	0.997855407463	0.949083983829	2502107	2630685	"berserk_hypatia_2"
"strain"	"1052944"	0.624060443733	0.447028262901	3716382	5188144	"berserk_hypatia_2"
"strain"	"1036743"	0.918931712447	0.884868200403	4909577	5098574	"berserk_hypatia_2"
"strain"	"1286_AP"	0.588973405299	0.488419761178	2467108	2975025	"berserk_hypatia_2"
"strain"	"evo_1286_AP.033"	0.363057195711	0.352610925561	3008862	3098001	"berserk_hypatia_2"
"strain"	"1036728"	0.985869473487	0.963552201978	1967018	2012577	"berserk_hypatia_2"
"strain"	"1036539"	0.995858829021	0.971121156121	4558614	4674737	"berserk_hypatia_2"
"strain"	"1285_BH"	1	1	4566533	4566533	"berserk_hypatia_2"
"strain"	"evo_1286_AP.037"	0.345308570442	0.438416122656	3914244	3082966	"berserk_hypatia_2"
"strain"	"evo_1286_AP.008"	0.916272614528	0.852576616447	3148695	3383934	"berserk_hypatia_2"
"strain"	"1030755"	1	0.962021366706	4439668	4614937	"berserk_hypatia_2"
"strain"	"1049005"	1	0.988900717239	4062239	4107833	"berserk_hypatia_2"
"strain"	"1220_AD"	1	0.984773287174	3427725	3480725	"berserk_hypatia_2"
"strain"	"1365_A"	0.851048019392	0.85744604495	7069144	7016396	"berserk_hypatia_2"
"strain"	"1049089"	1	0.963975483702	3011738	3124289	"berserk_hypatia_2"
"strain"	"evo_1286_AP.026"	0.91842698495	0.912925755651	3191705	3210938	"berserk_hypatia_2"
"strain"	"Sample6_476"	0.00221472607413	0.898639701457	3370620	8307	"berserk_hypatia_2"
"strain"	"1036707"	0.935084177512	0.842024527238	3606070	4004609	"berserk_hypatia_2"
"strain"	"1030878"	0.632838095944	0.996440945639	5177517	3288233	"berserk_hypatia_2"
"strain"	"1036743"	0.462240821761	0.0200173617172	220794	5098574	"berserk_hypatia_2"
